name,fx,fy,lines
West Drayton,0.129000,0.447639,elizabeth line;national rail
Hayes and Harlington,0.157000,0.464163,elizabeth line;national rail
Southall,0.173000,0.467167,elizabeth line;national rail
Hanwell,0.182000,0.465665,elizabeth line;national rail
West Ealing,0.196000,0.465665,elizabeth line;national rail
Acton Main Line,0.243000,0.441631,elizabeth line;national rail
Custom House,0.739000,0.515236,dlr;elizabeth line
Woolwich,0.740000,0.620386,elizabeth line
Abbey Wood,0.740000,0.639914,elizabeth line;national rail;thameslink
Emerson Park,0.770000,0.250858,overground
Maryland,0.689000,0.330472,elizabeth line
Forest Gate,0.702000,0.310944,elizabeth line
Manor Park,0.713000,0.294421,elizabeth line
Ilford,0.718000,0.283906,elizabeth line;national rail
Seven Kings,0.725000,0.274893,elizabeth line;national rail
Goodmayes,0.732000,0.264378,elizabeth line
Chadwell Heath,0.745000,0.244850,elizabeth line
Romford,0.755000,0.229828,elizabeth line;national rail;overground
Gidea Park,0.765000,0.214807,elizabeth line;national rail
Harold Wood,0.772000,0.204292,elizabeth line
Brentwood,0.791000,0.177253,elizabeth line
Shenfield,0.804000,0.157725,elizabeth line;national rail
South Hampstead,0.401000,0.360515,overground
Kilburn High Road,0.328000,0.360515,overground
Headstone Lane,0.289000,0.211803,overground
Hatch End,0.291000,0.198283,overground
Carpenders Park,0.290000,0.181760,overground
Bushey,0.290000,0.168240,national rail;overground
Watford High Street,0.290000,0.151717,overground
Watford Junction,0.289000,0.127682,national rail;overground
Clapham Junction,0.361000,0.665451,national rail;overground
Imperial Wharf,0.348000,0.620386,overground
South Action,0.247000,0.513734,overground
Action Central,0.247000,0.497210,overground
Kensal Rise,0.309000,0.325966,overground
Brondesbury Park,0.329000,0.325966,overground
Brondesbury,0.344000,0.328970,overground
Finchley Road and Frognal,0.392000,0.313948,overground
Hampstead Heath,0.418000,0.312446,overground
Gospel Oak,0.453000,0.307940,overground
Kentish Town West,0.462000,0.316953,overground
Camden Road,0.469000,0.328970,overground
Caledonian Road and Barnsbury,0.526000,0.336481,overground
Canonbury,0.562000,0.339485,overground
Dalston Kingsland,0.574000,0.334979,overground
Hackney Central,0.619000,0.350000,overground
Homerton,0.633000,0.350000,overground
Hackney Wick,0.649000,0.350000,overground
Upper Holloway,0.490000,0.274893,overground
Crouch Hill,0.521000,0.253863,overground
Harringay Green Lanes,0.564000,0.244850,overground
South Tottenham,0.591000,0.244850,overground
Walthamstow Queens Road,0.624000,0.279399,overground
Leyton Midland Road,0.646000,0.298927,overground
Leytonstone High Road,0.668000,0.300429,overground
Wanstead Park,0.694000,0.300429,overground
Woodgrange Park,0.716000,0.319957,overground
Barking Riverside,0.772000,0.420601,overground
Bethnal Green (Overground),0.604000,0.384549,overground
Cambridge Heath,0.607000,0.368026,overground
London Fields,0.607000,0.357511,overground
Hackney Downs,0.610000,0.339485,overground
Clapton,0.615000,0.315451,overground
St James Street,0.624000,0.300429,overground
Wood Street,0.631000,0.229828,overground
Highams Park,0.632000,0.201288,overground
Chingford,0.631000,0.171245,overground
Rectory Road,0.598000,0.319957,overground
Stoke Newington,0.588000,0.303433,overground
Stamford Hill,0.580000,0.285408,overground
Bruce Grove,0.579000,0.223820,overground
White (Shite) Hart Lane,0.578000,0.211803,overground
Silver Street,0.580000,0.199785,overground
Edmonton Green,0.578000,0.186266,overground
Bush Hill Park,0.578000,0.154721,overground
Enfield Town,0.578000,0.138197,overground
Southbury,0.586000,0.169742,overground
Turkey Street,0.595000,0.153219,overground
Theobalds Grove,0.606000,0.139700,overground
Cheshunt,0.613000,0.126180,national rail;overground
Dalston Junction,0.579000,0.356009,overground
Haggerston,0.585000,0.371030,overground
Hoxton,0.584000,0.383047,overground
Shoreditch High Street,0.584000,0.398069,overground
Shadwell,0.588000,0.495708,dlr;overground
Wapping,0.586000,0.512232,overground
Rotherhithe,0.584000,0.539270,overground
Surrey Quays,0.584000,0.590343,overground
New Cross,0.593000,0.632403,national rail;overground
New Cross Gate,0.585000,0.645923,national rail;overground
Brockley,0.585000,0.665451,national rail;overground
